Date,Close,Date,Close,Date,Close
11/2/2015,2104.05,11/2/2015,108.59,11/2/2015,121.95
11/3/2015,2109.79,11/3/2015,106.98,11/3/2015,120.95
11/4/2015,2102.31,11/4/2015,105.97,11/4/2015,121.09
11/5/2015,2099.93,11/5/2015,105.64,11/5/2015,120.77
11/6/2015,2099.2,11/6/2015,104.1,11/6/2015,119
11/9/2015,2078.58,11/9/2015,104.4,11/9/2015,118.33
11/10/2015,2081.72,11/10/2015,104.18,11/10/2015,118.68
11/11/2015,2075,11/11/2015,103.83,11/11/2015,118.43
11/12/2015,2045.97,11/12/2015,103.85,11/12/2015,119
11/13/2015,2023.04,11/13/2015,103.56,11/13/2015,119.68
11/16/2015,2053.19,11/16/2015,103.71,11/16/2015,119.57
11/17/2015,2050.44,11/17/2015,102.34,11/17/2015,119.77
11/18/2015,2083.58,11/18/2015,102.43,11/18/2015,120.02
11/19/2015,2081.24,11/19/2015,103.56,11/19/2015,120.82
11/20/2015,2089.17,11/20/2015,103.09,11/20/2015,120.45
11/23/2015,2086.59,11/23/2015,102.26,11/23/2015,120.82
11/24/2015,2089.14,11/24/2015,102.94,11/24/2015,120.81
11/25/2015,2088.87,11/25/2015,102.46,11/25/2015,121.09
11/27/2015,2090.11,11/27/2015,101.25,11/27/2015,120.97
11/30/2015,2080.41,11/30/2015,101.92,11/30/2015,121.45
12/1/2015,2102.63,12/1/2015,102.28,12/1/2015,122.83
12/2/2015,2079.51,12/2/2015,100.69,12/2/2015,122.87
12/3/2015,2049.62,12/3/2015,101.76,12/3/2015,119.53
12/4/2015,2091.69,12/4/2015,104.02,12/4/2015,120.58
12/7/2015,2077.07,12/7/2015,102.67,12/7/2015,121.75
12/8/2015,2063.59,12/8/2015,102.84,12/8/2015,121.81
12/9/2015,2047.62,12/9/2015,102.64,12/9/2015,121.68
12/10/2015,2052.23,12/10/2015,102.55,12/10/2015,121.84
12/11/2015,2012.37,12/11/2015,103.11,12/11/2015,123.76
12/14/2015,2021.94,12/14/2015,101.79,12/14/2015,122.16
12/15/2015,2043.41,12/15/2015,101.52,12/15/2015,121.44
12/16/2015,2073.07,12/16/2015,102.75,12/16/2015,121.18
12/17/2015,2041.89,12/17/2015,100.5,12/17/2015,122.55
12/18/2015,2005.55,12/18/2015,102.04,12/18/2015,123.23
12/21/2015,2021.15,12/21/2015,103.15,12/21/2015,123.2
12/22/2015,2038.97,12/22/2015,102.61,12/22/2015,122.31
12/23/2015,2064.29,12/23/2015,102.31,12/23/2015,121.39
12/24/2015,2060.99,12/24/2015,103.05,12/24/2015,121.83
12/28/2015,2056.5,12/28/2015,102.27,12/28/2015,122.19
12/29/2015,2078.36,12/29/2015,102.2,12/29/2015,120.16
12/30/2015,2063.36,12/30/2015,101.42,12/30/2015,120.04
12/31/2015,2043.94,12/31/2015,101.46,12/31/2015,120.58
1/4/2016,2012.66,1/4/2016,102.89,1/4/2016,121.45
1/5/2016,2016.71,1/5/2016,103.18,1/5/2016,120.96
1/6/2016,1990.26,1/6/2016,104.67,1/6/2016,122.59
1/7/2016,1943.09,1/7/2016,106.15,1/7/2016,122.81
1/8/2016,1922.03,1/8/2016,105.68,1/8/2016,123.36
1/11/2016,1923.67,1/11/2016,104.74,1/11/2016,122.01
1/12/2016,1938.68,1/12/2016,104.21,1/12/2016,123.77
1/13/2016,1890.28,1/13/2016,104.72,1/13/2016,124.99
1/14/2016,1921.84,1/14/2016,103.02,1/14/2016,123.82
1/15/2016,1880.33,1/15/2016,104.08,1/15/2016,125.75
1/19/2016,1881.33,1/19/2016,103.98,1/19/2016,125.36
1/20/2016,1859.33,1/20/2016,105.37,1/20/2016,126.68
1/21/2016,1868.99,1/21/2016,105.49,1/21/2016,125.82
1/22/2016,1906.9,1/22/2016,105,1/22/2016,125.34
1/25/2016,1877.08,1/25/2016,106.08,1/25/2016,126.02
1/26/2016,1903.63,1/26/2016,107.29,1/26/2016,126.08
1/27/2016,1882.95,1/27/2016,107.69,1/27/2016,126.05
1/28/2016,1893.36,1/28/2016,106.54,1/28/2016,126.23
1/29/2016,1940.24,1/29/2016,106.95,1/29/2016,127.3
2/1/2016,1939.38,2/1/2016,108.05,2/1/2016,126.67
2/2/2016,1903.03,2/2/2016,108.09,2/2/2016,126.67
2/3/2016,1912.53,2/3/2016,109.25,2/3/2016,127.95
2/4/2016,1915.45,2/4/2016,110.57,2/4/2016,128.57
2/5/2016,1880.05,2/5/2016,112.32,2/5/2016,128.72
2/8/2016,1853.44,2/8/2016,113.83,2/8/2016,131.49
2/9/2016,1852.21,2/9/2016,113.58,2/9/2016,131.63
2/10/2016,1851.86,2/10/2016,114.46,2/10/2016,132.79
2/11/2016,1829.08,2/11/2016,119.06,2/11/2016,133.72
2/12/2016,1864.78,2/12/2016,118.36,2/12/2016,131.5
2/16/2016,1895.58,2/16/2016,114.77,2/16/2016,130.11
2/17/2016,1926.82,2/17/2016,115.48,2/17/2016,129.31
2/18/2016,1917.83,2/18/2016,118.29,2/18/2016,130.9
2/19/2016,1917.78,2/19/2016,117.58,2/19/2016,131.01
2/22/2016,1945.5,2/22/2016,115.49,2/22/2016,130.94
2/23/2016,1921.27,2/23/2016,117.22,2/23/2016,131.47
2/24/2016,1929.8,2/24/2016,117.61,2/24/2016,131.21
2/25/2016,1951.7,2/25/2016,117.92,2/25/2016,131.68
2/26/2016,1948.05,2/26/2016,117.11,2/26/2016,130.41
2/29/2016,1932.23,2/29/2016,118.64,2/29/2016,130.98
3/1/2016,1978.35,3/1/2016,117.77,3/1/2016,128.43
3/2/2016,1986.45,3/2/2016,118.68,3/2/2016,128.96
3/3/2016,1993.4,3/3/2016,120.73,3/3/2016,129.43
3/4/2016,1999.99,3/4/2016,120.54,3/4/2016,128.6
3/7/2016,2001.76,3/7/2016,121.14,3/7/2016,128.56
3/8/2016,1979.26,3/8/2016,120.58,3/8/2016,129.98
3/9/2016,1989.26,3/9/2016,119.58,3/9/2016,129.19
3/10/2016,1989.57,3/10/2016,121.5,3/10/2016,128.66
3/11/2016,2022.19,3/11/2016,119.41,3/11/2016,127.36
3/14/2016,2019.64,3/14/2016,117.87,3/14/2016,127.76
3/15/2016,2015.93,3/15/2016,117.96,3/15/2016,127.88
3/16/2016,2027.22,3/16/2016,120.59,3/16/2016,128.26
3/17/2016,2040.59,3/17/2016,120.13,3/17/2016,128.79
3/18/2016,2049.58,3/18/2016,119.8,3/18/2016,129.06
3/21/2016,2051.6,3/21/2016,118.96,3/21/2016,128.07
3/22/2016,2049.8,3/22/2016,119.31,3/22/2016,128.04
3/23/2016,2036.71,3/23/2016,116.61,3/23/2016,129.49
3/24/2016,2035.94,3/24/2016,116.33,3/24/2016,129.54
3/28/2016,2037.05,3/28/2016,116.6,3/28/2016,129.71
3/29/2016,2055.01,3/29/2016,118.76,3/29/2016,131.07
3/30/2016,2063.95,3/30/2016,117.1,3/30/2016,129.69
3/31/2016,2059.74,3/31/2016,117.64,3/31/2016,130.61
4/1/2016,2072.78,4/1/2016,116.93,4/1/2016,130.68
4/4/2016,2066.13,4/4/2016,116.15,4/4/2016,130.76
4/5/2016,2045.17,4/5/2016,117.66,4/5/2016,132.19
4/6/2016,2066.66,4/6/2016,116.94,4/6/2016,131.23
4/7/2016,2041.91,4/7/2016,118.61,4/7/2016,132.85
